"word","n","date"
"season",9,2021-07-25
"ðÿðÿ",8,2021-07-25
"ðÿðÿðÿðÿ",8,2021-07-25
"na",8,2021-07-25
"start",8,2021-07-25
"time",8,2021-07-25
"brother",7,2021-07-25
"dont",7,2021-07-25
"maziibe",7,2021-07-25
"niyi",7,2021-07-25
"retweet",7,2021-07-25
"shawnifee",7,2021-07-25
"washing",7,2021-07-25
=======
"bbnaija",1372,2021-07-25
"rt",1157,2021-07-25
"relnofollowtwitter",419,2021-07-25
"falsenanaa",408,2021-07-25
"hrefhttptwittercomdownloadiphone",215,2021-07-25
"hrefhttptwittercomdownloadandroid",179,2021-07-25
"money",159,2021-07-25
"white",155,2021-07-25
"boma",144,2021-07-25
"yerins",125,2021-07-25
"house",123,2021-07-25
"whitemoney",114,2021-07-25
"bbnaijafalsena",109,2021-07-25
"guys",97,2021-07-25
"guy",90,2021-07-25
"saga",88,2021-07-25
"dey",87,2021-07-25
"housemates",83,2021-07-25
"yousef",82,2021-07-25
